precinct,LocationID,weight
1,231,0.21879341180809056
1,105,0.1640076172252202
1,13,0.1046062699353092
1,125,0.08727195758661109
1,87,0.08683673013740695
1,211,0.08527775475191031
1,261,0.07373128997840143
1,88,0.05571512696129816
1,209,0.05381085438066879
1,104,0.025566647850121846
1,12,0.02315904341912528
1,103,0.013595298545833743
1,158,0.007627997420002442
5,45,0.4080731450564606
5,144,0.26499063713339416
5,148,0.22090418308862422
5,231,0.09115186359954353
5,209,0.014665574206663855
5,232,0.00021459691531362806
6,249,0.3309971879751635
6,158,0.3015802385651375
6,113,0.20831310776397644
6,114,0.15910946569572257
7,232,0.8286649064982579
7,148,0.16591019631677073
7,45,0.0036144035069594614
7,4,0.001810493678011892
9,79,0.5092290195090614
9,4,0.3734287488671274
9,113,0.059068162077739114
9,114,0.058100682840050516
9,224,0.00017338670602162808
10,246,0.47158286256271326
10,68,0.33406505406038545
10,90,0.10267533753242715
10,48,0.04400140754709091
10,186,0.025491087757007074
10,50,0.02218425054037613
13,107,0.25529822749423964
13,234,0.25013403067926476
13,224,0.18861374677595663
13,137,0.15667828273042111
13,90,0.09456745724237095
13,186,0.02356910889942391
13,164,0.01784264948897726
13,170,0.01329649668934563
14,164,0.24116269875136473
14,100,0.18440100824302247
14,186,0.11473661683160048
14,170,0.10434065734880997
14,68,0.10343235568364727
14,48,0.08128378232299842
14,161,0.07121173557735906
14,230,0.07060577706283913
14,162,0.02882536817835843
17,229,0.2881912534214016
17,233,0.2756643242290959
17,170,0.2231916658319427
17,137,0.1035828092497725
17,162,0.10294960381580234
17,164,0.0064203434519848985
18,50,0.2556781748233188
18,48,0.20614896166387436
18,161,0.17977809081030327
18,230,0.1306413844285064
18,163,0.1278253267679988
18,162,0.06048629491674436
18,142,0.02227338288169955
18,143,0.01716838370755441
19,236,0.21298067284369473
19,237,0.1988019486940532
19,141,0.1587655083027953
19,140,0.1530792369633174
19,262,0.14017544963463696
19,263,0.1361971835615024
20,239,0.47450121281805124
20,143,0.27585130509629413
20,142,0.24964748208565465
22,43,0.9998045877987741
22,142,0.00019541220122589232
23,75,0.7757182372591238
23,74,0.22428176274087622
24,238,0.4819472098440672
24,151,0.3520362634676955
24,24,0.1660165266882373
25,194,0.5238802901927049
25,74,0.4377372889630024
25,42,0.03578402267296943
25,262,0.0025983981713233783
26,166,0.6681144279848613
26,152,0.3271400349710466
26,116,0.004745537044092231
28,41,0.9437366237859959
28,42,0.0557175983422348
28,166,0.0003269972794045228
28,43,0.0002187805923648402
30,116,0.8482595980967641
30,152,0.15137998993086377
30,244,0.0003604119723721253
32,42,0.9962503309900974
32,74,0.0033554434875329785
32,120,0.0003942255223696157
33,244,0.8402761783211175
33,120,0.1568753363339038
33,243,0.002500190091904032
33,42,0.00034829525307467177
34,243,0.43293483299083524
34,127,0.2760995728911508
34,128,0.19079299678943593
34,120,0.07192402383818036
34,244,0.028248573490397725
40,168,0.678443145652518
40,159,0.28452446850004354
40,247,0.0370323858474385
41,126,0.799611276385532
41,147,0.15578665780574208
41,60,0.01823729427377006
41,168,0.011035297893852943
41,213,0.006665329888531653
41,167,0.006242872457826832
41,212,0.002421271294744542
42,167,0.3684256669952971
42,60,0.2319561390169026
42,47,0.20680227125297315
42,59,0.1415027333092824
42,147,0.023488123399774914
42,69,0.023457792250533047
42,78,0.0024823141375966765
42,159,0.0018849596376401597
43,213,0.4817442963627581
43,250,0.14495758190385716
43,212,0.1423270624268899
43,248,0.1282856702535004
43,182,0.0811003130760545
43,60,0.02158507597693991
44,69,0.34259608701963756
44,247,0.30835296382287214
44,119,0.296517404211006
44,169,0.03706822875542429
44,47,0.009539999358648759
44,235,0.005925316832411278
45,184,0.36182802529960795
45,208,0.3267078478366265
45,51,0.10405928071584165
45,46,0.06369174484603733
45,58,0.04903562431662881
45,183,0.03548018988568566
45,250,0.02788173005318768
45,213,0.016981427171904803
45,242,0.014334129874479646
46,235,0.5193031542303153
46,169,0.294502140078086
46,94,0.1380105042565069
46,18,0.04806404350159965
46,136,0.00012015793349217078
47,81,0.2506050724781381
47,259,0.24760489557067988
47,254,0.22603892395260067
47,240,0.17751312116435802
47,51,0.07311423611174594
47,32,0.010084584153139464
47,3,0.00833133531736279
47,31,0.006707831251975106
48,78,0.41825070463888775
48,20,0.30180582203950873
48,47,0.15674111019747522
48,60,0.05529585849894486
48,169,0.03231189865370058
48,94,0.017777170388205428
48,31,0.012618285399291
48,248,0.0036902578598368317
48,242,0.0015088923241496155
49,242,0.30574133344919296
49,3,0.28684199957423806
49,185,0.217713459114097
49,32,0.1284170497954439
49,31,0.048188773806073455
49,78,0.0092817972504936
49,248,0.0038155870104609846
50,200,0.36016601527929165
50,240,0.3249558102215506
50,220,0.1706138550029745
50,241,0.12262461512138453
50,153,0.021639704374798726
52,31,0.33391514020166213
52,174,0.194636435798325
52,136,0.16309308108776885
52,18,0.16302689489100963
52,241,0.11113266831177478
52,235,0.012584001224684813
52,20,0.009129991718224253
52,78,0.00502559492371443
52,153,0.004038034109611951
52,94,0.003244458439173262
52,240,0.00017369929405092706
60,55,0.5384150698360534
60,108,0.2764180053339924
60,29,0.17085820029054058
60,21,0.014308724539413623
61,210,0.3188741438913827
61,123,0.2190371404337403
61,149,0.1986112814617711
61,150,0.15155470233217094
61,108,0.048809109930724466
61,154,0.037049062564661714
61,29,0.015737230623023218
61,21,0.005716361454012083
61,155,0.003848836323323254
61,165,0.0007621309851902369
62,22,0.45176268185892554
62,21,0.3270018483311101
62,11,0.1990038720073799
62,26,0.01100213646752877
62,178,0.005084337753280256
62,108,0.0038557758373817135
62,67,0.0022893477443937235
63,154,0.40509163573621987
63,155,0.30017979025580144
63,91,0.22704997242663302
63,2,0.06043053355508038
63,71,0.00326509436868823
63,165,0.0021511162456543213
63,149,0.00183185741192277
66,26,0.5195252634805352
66,178,0.17346478435692453
66,133,0.1540639328821643
66,227,0.08795933435345919
66,165,0.031190728698967763
66,257,0.01586001962274057
66,89,0.012342329917636721
66,123,0.005086033969089128
66,22,0.0005075727184825198
67,71,0.40431996529038905
67,72,0.34472647678854446
67,85,0.12461583040002411
67,188,0.05248334412882284
67,91,0.020197628235108983
67,39,0.019355147551337284
67,89,0.017062365411022417
67,35,0.01569116543675508
67,76,0.0015480767579958115
68,14,0.6031868669023919
68,67,0.3571554093812643
68,227,0.02592591469059548
68,26,0.008227861240550763
68,228,0.005503947785197705
69,39,0.7813491443973954
69,2,0.15644498152844521
69,76,0.05916958448925437
69,222,0.0018196745954029057
69,35,0.0012166149895020556
70,89,0.5162545762283947
70,165,0.390626935196347
70,85,0.034453315996916485
70,190,0.022688762032334473
70,188,0.017687876515912693
70,133,0.006891316566771391
70,91,0.005375299235957521
70,26,0.003296682072764828
70,149,0.00272523615460098
71,188,0.557436338855574
71,62,0.3526341679861267
71,61,0.08992949315829936
72,228,0.47282265960156367
72,111,0.20186058943967022
72,227,0.1483188773076082
72,257,0.1192495620578581
72,181,0.049795635271576294
72,106,0.005460810495583739
72,14,0.0015772754454744695
72,190,0.0009145903806653342
73,35,0.6015566479770459
73,177,0.3567052480300912
73,76,0.02824082500383786
73,72,0.007080227688654489
73,77,0.006417051300370523
75,76,0.6067404229631971
75,63,0.197979611997337
75,77,0.10583909184778159
75,222,0.06334425398982792
75,2,0.02150570885080514
75,177,0.0032766685250745784
75,258,0.0007836709093950665
75,124,0.00042962136621046016
75,37,0.00010094955037115569
76,195,0.5007931304104618
76,40,0.22813910344550983
76,54,0.12386578487192244
76,52,0.09464383650618398
76,25,0.047145000392781675
76,106,0.0048485689429472
76,33,0.0005645754301931297
77,61,0.8524185000460002
77,189,0.1472174184306858
77,62,0.00036408152331411674
78,181,0.380822869790704
78,190,0.37494954554919463
78,106,0.1575374515808338
78,189,0.05857678767028925
78,25,0.020330685796153432
78,97,0.0077826596128249045
79,17,0.6450267826704701
79,225,0.14034545645875035
79,49,0.131539169309182
79,61,0.06919894505056436
79,37,0.013889646511033199
81,225,0.7276634521776502
81,61,0.23407314518593125
81,177,0.030382356281509957
81,37,0.00788104635490875
83,37,0.6189833318104481
83,36,0.38065030747221573
83,96,0.0003663607173361208
84,33,0.3095421014889229
84,25,0.25088753558673077
84,66,0.21617201499951796
84,65,0.21296825975241065
84,54,0.006639149619557487
84,97,0.003334002215524757
84,34,0.00045693633733546367
88,97,0.37422557199175294
88,49,0.3449541297085565
88,34,0.2637823363426962
88,65,0.016887440328822483
88,66,0.00015052162817186907
90,80,0.3298732319907996
90,256,0.21389921863645134
90,217,0.17521593289864237
90,37,0.14655785439863836
90,17,0.05471952730127579
90,36,0.052006949239061726
90,255,0.02772728553513081
94,112,0.538877686332133
94,80,0.26465276278359334
94,255,0.19646955088427365
100,27,0.3628052259857963
100,2,0.219829313344449
100,201,0.18766101815469363
100,117,0.1562255068113293
100,30,0.07347893570373173
101,86,0.6294298219975824
101,117,0.3552108426335331
101,2,0.01535933536888461
102,197,0.3776258962482901
102,258,0.27745632001042725
102,96,0.17934849372618097
102,134,0.15308428597223522
102,180,0.0055782895872982866
102,216,0.004366266120123747
102,93,0.002159694736030981
102,95,0.0002548002634411835
102,28,0.0001259533359721996
103,130,0.45763281929427807
103,215,0.27337619611342234
103,122,0.18870767143827624
103,205,0.0469654141009377
103,28,0.019044249909892803
103,131,0.014273649143192766
104,160,0.2740400886557448
104,198,0.23979668708764937
104,157,0.1692530396210971
104,96,0.14920167538665458
104,102,0.13445636874575953
104,226,0.029014578028164664
104,82,0.004237562474929951
105,191,0.33146017234586816
105,19,0.27122846187445915
105,101,0.22442850070438783
105,38,0.160506622159942
105,131,0.010139790373644444
105,205,0.0022364525416983757
106,216,0.4737015249880165
106,124,0.3686176768927423
106,180,0.14057438171795741
106,132,0.011579241532567773
106,197,0.0047546872101106846
106,76,0.0007724876586053504
107,98,0.23626497986773132
107,135,0.22741283905095927
107,131,0.18924244398592371
107,121,0.18706039570101268
107,28,0.1323457594435933
107,93,0.013494165412137186
107,192,0.007455934054682376
107,130,0.005435032483712756
107,175,0.0006681133995048394
107,134,0.0003935581927673682
107,191,0.00022677840797521968
108,226,0.4602894350219745
108,260,0.2522820908198872
108,145,0.19749766154622403
108,83,0.08646402502053106
108,146,0.002082698735271246
108,193,0.0013840888561120273
109,252,0.21386317612214562
109,171,0.16011164756695276
109,53,0.15662535006131106
109,15,0.1372152499447409
109,92,0.11721314661421967
109,192,0.11220402893949338
109,73,0.09132080428626219
109,9,0.005534170172251042
109,93,0.0035307164964323372
109,16,0.0020831653363966177
109,253,0.0001760953119539435
109,135,0.000122449147840426
110,93,0.3568459881906613
110,82,0.28388148523715495
110,56,0.1631564702742515
110,83,0.08503268338370815
110,253,0.05671484861315713
110,173,0.04227925328213095
110,57,0.010139274049992915
110,196,0.001612855911180243
110,92,0.0003371410577628296
111,64,0.3614547099309063
111,16,0.3078055320948522
111,175,0.19529092895027175
111,9,0.12438799231298164
111,15,0.007810878911261284
111,171,0.0032499577997268736
112,95,0.6480354511675662
112,196,0.22151120981086656
112,93,0.11111122559512722
112,102,0.01844682284372371
112,96,0.000636711898581023
112,134,0.0002585786841352366
113,132,0.5310604081555595
113,205,0.1738300335129318
113,10,0.12052676144641812
113,2,0.06108945573948509
113,218,0.05004592783489723
113,215,0.033896606411010236
113,122,0.010523213909878842
113,219,0.008734774747484146
113,191,0.0055921259467861095
113,203,0.004586233319742981
113,216,0.00011445897580584138
114,223,0.3198814222565909
